UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P.109_N. 44,SELANGOR,P.109,KAPAR,N. 44,SELAT KLANG,PN - PPBM,DATUK ABDUL RASHID BIN ASARI,MALE,71,
P.110_N. 45,SELANGOR,P.110,KLANG,N. 45,BANDAR BARU KLANG,PH - DAP,DR. QUAH,MALE,48,
P.110_N. 46,SELANGOR,P.110,KLANG,N. 46,PELABUHAN KLANG,PH - PKR,AZMIZAM ZAMAN HURI,MALE,50,
P.110_N. 47,SELANGOR,P.110,KLANG,N. 47,PANDAMARAN,PH - DAP,TONY LEONG TUCK CHEE,MALE,47,
P.111_N. 48,SELANGOR,P.111,KOTA RAJA,N. 48,SENTOSA,PH - PKR,GUNARAJ G,MALE,59,
P.111_N. 49,SELANGOR,P.111,KOTA RAJA,N. 49,SUNGAI KANDIS,PN - PPBM,WAN DZAHANURIN AHMAD,MALE,59,
P.111_N. 50,SELANGOR,P.111,KOTA RAJA,N. 50,KOTA KEMUNING,PH - DAP,PREAKAS SAMPUNATHAN,MALE,41,
P.112_N. 51,SELANGOR,P.112,KUALA LANGAT,N. 51,SIJANGKANG,PN - PAS,DR AHMAD YUNUS,MALE,58,
P.112_N. 52,SELANGOR,P.112,KUALA LANGAT,N. 52,BANTING,PH - DAP,PAPPARAIDU VERAMAN,MALE,48,
P.112_N. 53,SELANGOR,P.112,KUALA LANGAT,N. 53,MORIB,PN - PPBM,ROSNIZAN BIN AHMAD,MALE,50,
P.113_N. 54,SELANGOR,P.113,SEPANG,N. 54,TANJONG SEPAT,PH - PKR,BORHAN BIN AMAN SHAH,MALE,61,
P.113_N. 55,SELANGOR,P.113,SEPANG,N. 55,DENGKIL,PN - PPBM,DATUK SERI JAMIL SALLEH,MALE,64,
P.113_N. 56,SELANGOR,P.113,SEPANG,N. 56,SUNGAI PELEK,PH - DAP,LWI KIAN KEONG,MALE,47,
P.126_N.01,NEGERI SEMBILAN,P.126,JELEBU,N.01,CHENNAH,PH - DAP,LOKE SIEW FOOK,MALE,46,
P.126_N.02,NEGERI SEMBILAN,P.126,JELEBU,N.02,PERTANG,BN - UMNO,JALALUDDIN BIN ALIAS,MALE,59,
P.126_N.03,NEGERI SEMBILAN,P.126,JELEBU,N.03,SUNGAI LUI,BN - UMNO,MOHD. RAZI BIN MOHD. ALI,MALE,50,
P.126_N.04,NEGERI SEMBILAN,P.126,JELEBU,N.04,KLAWANG,PH - AMANAH,BAKRI SAWIR,MALE,64,
P.127_N.05,NEGERI SEMBILAN,P.127,JEMPOL,N.05,SERTING,PN - PAS,USTAZ FAIRUZ,MALE,47,
P.127_N.06,NEGERI SEMBILAN,P.127,JEMPOL,N.06,PALONG,BN - UMNO,MUSTAPHA BIN NAGOOR,MALE,55,
P.127_N.07,NEGERI SEMBILAN,P.127,JEMPOL,N.07,JERAM PADANG,BN - UMNO,MOHD ZAIDY ABDUL KADIR,MALE,41,
P.127_N.08,NEGERI SEMBILAN,P.127,JEMPOL,N.08,BAHAU,PH - DAP,TEO KOK SEONG,MALE,43,
P.128_N.09,NEGERI SEMBILAN,P.128,SEREMBAN,N.09,LENGGENG,BN - UMNO,HJ ASNA,MALE,44,
P.128_N.10,NEGERI SEMBILAN,P.128,SEREMBAN,N.10,NILAI,PH - DAP,J ARUL KUMAR,MALE,37,
P.128_N.11,NEGERI SEMBILAN,P.128,SEREMBAN,N.11,LOBAK,PH - DAP,CHEW SEH YONG,MALE,61,
P.128_N.12,NEGERI SEMBILAN,P.128,SEREMBAN,N.12,TEMIANG,PH - DAP,NG CHIN TSAI,MALE,45,
P.128_N.13,NEGERI SEMBILAN,P.128,SEREMBAN,N.13,SIKAMAT,PH - PKR,AMINUDDIN HARUN,MALE,56,
P.128_N.14,NEGERI SEMBILAN,P.128,SEREMBAN,N.14,AMPANGAN,PH - PKR,TENGKU ZAMRAH BINTI TENGKU SULAIMAN,FEMALE,64,
P.129_N.15,NEGERI SEMBILAN,P.129,KUALA PILAH,N.15,JUASSEH,BN - UMNO,PUAN SRI BIBI SHARLIZA,FEMALE,52,
P.129_N.16,NEGERI SEMBILAN,P.129,KUALA PILAH,N.16,SERI MENANTI,BN - UMNO,USTAZ SUFIAN MARADZI,MALE,40,
P.129_N.17,NEGERI SEMBILAN,P.129,KUALA PILAH,N.17,SENALING,BN - UMNO,ISMAIL LASIM,MALE,64,
P.129_N.18,NEGERI SEMBILAN,P.129,KUALA PILAH,N.18,PILAH,PH - PKR,NOORZUNITA BEGUM MOHD IBRAHIM,FEMALE,42,
P.129_N.19,NEGERI SEMBILAN,P.129,KUALA PILAH,N.19,JOHOL,BN - UMNO,HJ SAIFUL YAZAN SULAIMAN,MALE,56,
P.130_N.20,NEGERI SEMBILAN,P.130,RASAH,N.20,LABU,PN - PPBM,ANIP ABU BAKER,MALE,42,
P.130_N.21,NEGERI SEMBILAN,P.130,RASAH,N.21,BUKIT KEPAYANG,PH - DAP,NICOLE TAN LEE KOON,FEMALE,52,
P.130_N.22,NEGERI SEMBILAN,P.130,RASAH,N.22,RAHANG,PH - DAP,SIAU MEOW KONG,MALE,51,
P.130_N.23,NEGERI SEMBILAN,P.130,RASAH,N.23,MAMBAU,PH - DAP,YAP YEW WENG,MALE,59,
P.130_N.24,NEGERI SEMBILAN,P.130,RASAH,N.24,SEREMBAN JAYA,PH - DAP,P.GUNA,MALE,64,
P.131_N.25,NEGERI SEMBILAN,P.131,REMBAU,N.25,PAROI,PN - PAS,HJ KAMAROL RIDZUAN,MALE,56,
P.131_N.26,NEGERI SEMBILAN,P.131,REMBAU,N.26,CHEMBONG,BN - UMNO,DATO' HAJI ZAIFULBAHRI BIN HAJI IDRIS,MALE,55,
P.131_N.27,NEGERI SEMBILAN,P.131,REMBAU,N.27,RANTAU,BN - UMNO,TOK MAT,MALE,67,
P.131_N.28,NEGERI SEMBILAN,P.131,REMBAU,N.28,KOTA,BN - UMNO,SUHAIMI BIN AINI,MALE,43,
P.132_N.29,NEGERI SEMBILAN,P.132,PORT DICKSON,N.29,CHUAH,PH - PKR,YEW BOON LYE,MALE,52,
P.132_N.30,NEGERI SEMBILAN,P.132,PORT DICKSON,N.30,LUKUT,PH - DAP,CHOO KEN HWA,MALE,46,
P.132_N.31,NEGERI SEMBILAN,P.132,PORT DICKSON,N.31,BAGAN PINANG,PN - PAS,USTAZ FATAH,MALE,57,
P.132_N.32,NEGERI SEMBILAN,P.132,PORT DICKSON,N.32,LINGGI,BN - UMNO,DATUK MOHD FAIZAL RAMLI,MALE,51,
P.132_N.33,NEGERI SEMBILAN,P.132,PORT DICKSON,N.33,SRI TANJUNG,PH - PKR,DR.RAJA,MALE,42,
P.133_N.34,NEGERI SEMBILAN,P.133,TAMPIN,N.34,GEMAS,PN - PPBM,HAJI RIDZUAN AHMAD,MALE,46,
P.133_N.35,NEGERI SEMBILAN,P.133,TAMPIN,N.35,GEMENCHEH,BN - UMNO,SUHAIMIZAN BIZAR (HAI),MALE,39,
P.133_N.36,NEGERI SEMBILAN,P.133,TAMPIN,N.36,REPAH,PH - DAP,VEERAPAN A/L SUPERAMANIAM,MALE,48,
