UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PR (1),PR (1) CANDIDATE,PR (1) CANDIDATE SEX,PR (1) CANDIDATE AGE,PR (1) VOTE,PR (1) CANDIDATE LOST DEPOSIT ,PR (2),PR (2) CANDIDATE,PR (2) CANDIDATE SEX,PR (2) CANDIDATE AGE,PR (2) VOTE,PR (2) CANDIDATE LOST DEPOSIT ,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE SEX,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
P.038_N.24,TERENGGANU,P.038,HULU TERENGGANU,N.24,AJIL,BN - UMNO,,17834,2782,87.47,15599,46,305,15248,UMNO,CIKGU GHAZALI TAIB,MALE,51,8680,,,,,,,,PAS,USTAZ MOHD RAZKI ALIAS,MALE,41,5898,,,,,,,,,,,,,,,,,,,,INDEPENDENT - AEROPLANE,M. NUHAIRI,MALE,,670,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.039_N.25,TERENGGANU,P.039,DUNGUN,N.25,BUKIT BESI,BN - UMNO,,13387,2558,87.26,11681,33,222,11426,UMNO,ROSLEE DAUD,MALE,53,6966,,PKR,MOHD SHAMSUL,MALE,28,52,LOST DEPOSIT,PAS,USTAZ ROSLAN ISMAIL,MALE,,4408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.039_N.26,TERENGGANU,P.039,DUNGUN,N.26,RANTAU ABANG,PR - PAS,,20618,141,88.11,18166,41,248,17877,UMNO,DATUK ZA'ABAR BIN DATO' MOHD ADIB,MALE,59,8823,,,,,,,,PAS,CIKGU ALIAS,MALE,62,8964,,,,,,,,,,,,,,,,,,,,INDEPENDENT - HIBISCUS,MAZLAN BIN HARUN,MALE,,90,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.039_N.27,TERENGGANU,P.039,DUNGUN,N.27,SURA,PR - PAS,,17705,2957,85.43,15126,38,141,14947,UMNO,CIKGU YA ALI,MALE,57,5995,,,,,,,,PAS,CIKGU WAN HAPANDI,MALE,57,8952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.039_N.28,TERENGGANU,P.039,DUNGUN,N.28,PAKA,PR - PAS,,26464,1287,87.78,23231,40,202,22989,UMNO,DATUK MATULIDI,MALE,56,10851,,,,,,,,PAS,USTAZ SAIFUL BAHRI MAMAT,MALE,45,12138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.040_N.29,TERENGGANU,P.040,KEMAMAN,N.29,KEMASIK,BN - UMNO,,18847,898,87.26,16445,47,198,16200,UMNO,IR ROSLI BIN OTHMAN,MALE,56,8230,,,,,,,,PAS,USTAZ ALIAS ABD HAMID,MALE,47,7332,,,,,,,,,,,,,,,,,,,,INDEPENDENT - FISH,HAJI PELI,MALE,,638,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.040_N.30,TERENGGANU,P.040,KEMAMAN,N.30,KIJAL,BN - UMNO,,19269,4204,89.10,17168,31,193,16944,UMNO,DATO' SERI HAJI AHMAD BIN SAID,MALE,56,10574,,,,,,,,PAS,USTAZ HAZRI JUSOH,MALE,43,6370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.040_N.31,TERENGGANU,P.040,KEMAMAN,N.31,CUKAI,PR - PAS,,26715,2446,85.17,22753,46,239,22468,UMNO,DATUK HJ WAN AHMAD NIZAM BIN WAN ABDUL HAMID,MALE,47,10011,,,,,,,,PAS,HAJI HANAFIAH BIN MAT,MALE,48,12457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.040_N.32,TERENGGANU,P.040,KEMAMAN,N.32,AIR PUTIH,BN - UMNO,,27111,3633,87.79,23802,72,317,23413,UMNO,WAN ABDUL HAKIM BIN WAN MOKHTAR,MALE,45,13523,,,,,,,,PAS,CIKGU RAZAK IBRAHIM,MALE,59,9890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.041_N.01,PULAU PINANG,P.041,KEPALA BATAS,N.01,PENAGA,BN - UMNO,,16681,1662,91.31,15231,25,168,15038,UMNO,MOHD ZAIN BIN AHMAD,MALE,61,8350,,,,,,,,PAS,HAJI ROSIDI HUSSAIN,MALE,,6688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.041_N.02,PULAU PINANG,P.041,KEPALA BATAS,N.02,BERTAM,BN - UMNO,,16221,1642,89.35,14494,23,235,14236,UMNO,SHARIFUL AZHAR OTHMAN,MALE,45,7939,,PKR,SYED MIKAEL RIZAL AIDID,MALE,33,6297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.041_N.03,PULAU PINANG,P.041,KEPALA BATAS,N.03,PINANG TUNGGAL,BN - UMNO,,18733,1587,90.83,17015,31,261,16723,UMNO,DATO' HAJI ROSLAN BIN SAIDIN,MALE,,9155,,PKR,IR. AHMAD ZAKIYUDDIN BIN ABD RAHMAN,MALE,55,7568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.042_N.04,PULAU PINANG,P.042,TASEK GELUGOR,N.04,PERMATANG BERANGAN,BN - UMNO,,18336,1621,89.89,16482,30,247,16205,UMNO,HAJI OMAR BIN HAJI ABD HAMID,MALE,,8913,,,,,,,,PAS,ARSHAD BIN MD. SALLEH,MALE,63,7292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.042_N.05,PULAU PINANG,P.042,TASEK GELUGOR,N.05,SUNGAI DUA,BN - UMNO,,17871,357,90.26,16131,42,200,15889,UMNO,MUHAMAD YUSOFF BIN MOHD NOOR,MALE,50,7951,,,,,,,,PAS,CIKGU ZAHADI BIN HJ. MOHD,MALE,58,7594,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,DATO SERI MOHD SHARIFF BIN OMAR,MALE,66,344,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.042_N.06,PULAU PINANG,P.042,TASEK GELUGOR,N.06,TELOK AYER TAWAR,BN - UMNO,,17835,840,86.95,15508,37,231,15240,UMNO,DATO JAHARA HAMID,FEMALE,62,8040,,PKR,NORHAYATI JAAFAR,FEMALE,50,7200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.043_N.07,PULAU PINANG,P.043,BAGAN,N.07,SUNGAI PUYU,PR - DAP,,25282,16207,89.96,22743,14,174,22555,MCA,SUM YOO KEONG,MALE,63,3174,,DAP,PHEE BOON POH,MALE,62,19381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.043_N.08,PULAU PINANG,P.043,BAGAN,N.08,BAGAN JERMAL,PR - DAP,,24608,11855,86.72,21340,26,222,21092,MCA,TAN CHUAN HONG,MALE,46,4561,,DAP,LIM HOCK SENG,MALE,65,16416,,,,,,,,PCM,LIM KIM CHU,MALE,,115,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.043_N.09,PULAU PINANG,P.043,BAGAN,N.09,BAGAN DALAM,PR - DAP,,18613,5161,84.40,15709,22,241,15446,MIC,M. KARUPPANAN,MALE,48,5092,,DAP,TANASEKHARAN,MALE,57,10253,,,,,,,,PCM,LIM SEANG TEIK,MALE,,76,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - ELEPHANT,ASOGHAN A/L GOVINDARAJU,MALE,,25,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.044_N.10,PULAU PINANG,P.044,PERMATANG PAUH,N.10,SEBERANG JAYA,PR - PKR,,29964,2459,88.20,26429,67,274,26088,UMNO,MOHAMMAD NASIR BIN ABDULLAH,MALE,51,11689,,PKR,DR. AFIF BIN BAHARDIN,MALE,28,14148,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - RABBIT,SHAMSUT TABREJ,MALE,62,251,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.044_N.11,PULAU PINANG,P.044,PERMATANG PAUH,N.11,PERMATANG PASIR,PR - PAS,,22905,6826,89.01,20387,48,207,20132,UMNO,ANUAR FAISAL BIN YAHAYA,MALE,35,6653,,,,,,,,PAS,DATO' SALLEH MAN,MALE,,13479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.044_N.12,PULAU PINANG,P.044,PERMATANG PAUH,N.12,PENANTI,PR - PKR,,18830,2339,88.47,16659,33,191,16435,UMNO,IBRAHIM BIN AHMAD,MALE,48,7048,,PKR,DR NORLELA ARIFFIN,FEMALE,50,9387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.045_N.13,PULAU PINANG,P.045,BUKIT MERTAJAM,N.13,BERAPIT,PR - DAP,,22394,14765,86.73,19422,32,165,19225,MCA,LAU CHIEK TUAN,MALE,59,2230,LOST DEPOSIT,DAP,ONG KOK FOOI,FEMALE,48,16995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.045_N.14,PULAU PINANG,P.045,BUKIT MERTAJAM,N.14,MACHANG BUBUK,PR - PKR,,30771,11900,89.63,27581,116,470,26995,GERAKAN,TAN LOK HEAH,MALE,,7180,,PKR,LEE KHAI LOON,MALE,35,19080,,,,,,,,,,,,,,,,,,,,KITA,DATO Dr. VICKY,MALE,,159,LOST DEPOSIT,INDEPENDENT - HIBISCUS,WAN BALKIS BIN WAN ABDULLAH,MALE,,252,LOST DEPOSIT,INDEPENDENT - TREE,TAN HOCK LEONG,MALE,,172,LOST DEPOSIT,INDEPENDENT - KEY,OOI SUAN HOE,MALE,,152,LOST DEPOSIT,,,,,,
P.045_N.15,PULAU PINANG,P.045,BUKIT MERTAJAM,N.15,PADANG LALANG,PR - DAP,,25831,14930,87.43,22585,35,166,22384,MCA,TAN TEIK CHENG,MALE,52,3727,,DAP,CHONG ENG,FEMALE,56,18657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.046_N.16,PULAU PINANG,P.046,BATU KAWAN,N.16,PERAI,PR - DAP,,16058,7959,83.91,13474,9,142,13323,MIC,L. KRISHNAN,MALE,65,2590,,DAP,P. RAMASAMY,MALE,64,10549,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - CHAIR,MUHAMMAD RIDHWAN BIN SULAIMAN,MALE,47,184,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.046_N.17,PULAU PINANG,P.046,BATU KAWAN,N.17,BUKIT TENGAH,PR - PKR,,18928,5190,88.51,16754,32,270,16452,GERAKAN,TENG CHANG YEOW,MALE,49,5540,,PKR,ONG CHIN WEN,MALE,36,10730,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - HIBISCUS,MOHAN APPAROO,MALE,53,182,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.046_N.18,PULAU PINANG,P.046,BATU KAWAN,N.18,BUKIT TAMBUN,PR - PKR,,22514,11020,88.74,19980,30,303,19647,GERAKAN,LAI CHEW HOCK,MALE,,4197,,PKR,LAW CHOO KIANG,MALE,43,15217,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - MOTORCYCLE,A'ZISS ZAINAL ABIDDIN,MALE,,142,LOST DEPOSIT,INDEPENDENT - KEY,LOGANATHAN A/L AYYARU,MALE,,91,LOST DEPOSIT,,,,,,,,,,,,
P.047_N.19,PULAU PINANG,P.047,NIBONG TEBAL,N.19,JAWI,PR - DAP,,24735,9076,87.81,21720,19,339,21362,MCA,TAN CHENG LIANG,FEMALE,54,6143,,DAP,SOON LIP CHEE,MALE,36,15219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.047_N.20,PULAU PINANG,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,PR - PKR,,19051,1805,89.22,16998,31,256,16711,UMNO,MOHD FOAD BIN HJ MAT ISA,MALE,51,7453,,PKR,HAJI MAKTAR BIN HAJI SHAPEE,MALE,,9258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.047_N.21,PULAU PINANG,P.047,NIBONG TEBAL,N.21,SUNGAI ACHEH,BN - UMNO,,15559,808,89.22,13881,0,217,13664,UMNO,DATO' MAHMUD BIN ZAKARIA,MALE,65,6891,,PKR,CHE'GUBARD,MALE,,6083,,PAS,USTAZ YUSNI MAT PIAH,MALE,39,690,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.048_N.22,PULAU PINANG,P.048,BUKIT BENDERA,N.22,TANJONG BUNGA,PR - DAP,,20068,5515,83.71,16799,22,193,16584,GERAKAN,CHIA KWANG CHYE,MALE,63,5518,,DAP,TEH YEE CHEU,MALE,54,11033,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - HORSE,MAR SEONG LENG @ BEH SEONG LENG,MALE,,33,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.048_N.23,PULAU PINANG,P.048,BUKIT BENDERA,N.23,AIR PUTIH,PR - DAP,,13803,7744,84.74,11697,28,161,11508,MCA,TAN KEN KEONG,MALE,41,1882,,DAP,LIM GUAN ENG,MALE,53,9626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.048_N.24,PULAU PINANG,P.048,BUKIT BENDERA,N.24,KEBUN BUNGA,PR - PKR,,19278,9030,83.93,16180,45,274,15861,GERAKAN,HNG CHEE WEY,MALE,36,3336,,PKR,CHEAH KAH PENG,MALE,,12366,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,JAYARAMAN A/L K. KUNCHU KANNU,MALE,47,159,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.048_N.25,PULAU PINANG,P.048,BUKIT BENDERA,N.25,PULAU TIKUS,PR - DAP,,17936,8220,80.52,14442,25,125,14292,GERAKAN,ROWENA YAM,FEMALE,44,3036,,DAP,YAP SOO HUEY,FEMALE,31,11256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.049_N.26,PULAU PINANG,P.049,TANJONG,N.26,PADANG KOTA,PR - DAP,,15375,7196,78.55,12077,19,128,11930,GERAKAN,OH TONG KEONG,MALE,46,2367,,DAP,CHOW KON YEOW,MALE,55,9563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.049_N.27,PULAU PINANG,P.049,TANJONG,N.27,PENGKALAN KOTA,PR - DAP,,19980,13600,87.40,17462,13,243,17206,MCA,LOKE POH CHYE,MALE,66,1803,LOST DEPOSIT,DAP,LAU KENG EE,MALE,33,15403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.049_N.28,PULAU PINANG,P.049,TANJONG,N.28,KOMTAR,PR - DAP,,16132,8114,82.84,13364,8,107,13249,MCA,LOH CHYE TEIK,MALE,54,2555,,DAP,TEH LAI HENG,MALE,33,10669,,,,,,,,PCM,LIEW YEOW HOOI,MALE,,25,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.050_N.29,PULAU PINANG,P.050,JELUTONG,N.29,DATOK KERAMAT,PR - DAP,,21900,5020,85.78,18786,92,274,18420,GERAKAN,ONG THEAN LYE,MALE,,6700,,DAP,JAGDEEP SINGH DEO,MALE,42,11720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.050_N.30,PULAU PINANG,P.050,JELUTONG,N.30,SUNGAI PINANG,PR - DAP,,23501,4707,87.36,20531,102,287,20142,GERAKAN,DR THOR TEONG GEE,MALE,,7647,,DAP,LIM SIEW KHIM,FEMALE,43,12354,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,MOHAMED YACOOB,MALE,24,141,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.050_N.31,PULAU PINANG,P.050,JELUTONG,N.31,BATU LANCANG,PR - DAP,,25846,15364,86.66,22398,85,157,22156,GERAKAN,LEE BOON TEN,MALE,,3396,,DAP,LAW HENG KIANG,MALE,53,18760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.051_N.32,PULAU PINANG,P.051,BUKIT GELUGOR,N.32,SERI DELIMA,PR - DAP,,23841,9277,83.65,19944,56,209,19679,MCA,LOW JOO HIAP,MALE,41,5201,,DAP,SANISVARA NETHAJI RAYER,MALE,42,14478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.051_N.33,PULAU PINANG,P.051,BUKIT GELUGOR,N.33,AIR ITAM,PR - DAP,,18407,7316,84.34,15524,31,193,15300,GERAKAN,LOO JIEH SHENG,MALE,,3992,,DAP,WONG HON WAI,MALE,40,11308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.051_N.34,PULAU PINANG,P.051,BUKIT GELUGOR,N.34,PAYA TERUBONG,PR - DAP,,39649,25719,88.82,35215,39,305,34871,MCA,KOH WAN LEONG,MALE,49,4576,,DAP,YEOH SOON HIN,MALE,37,30295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.052_N.35,PULAU PINANG,P.052,BAYAN BARU,N.35,BATU UBAN,PR - PKR,,28649,9857,86.39,24750,75,246,24429,GERAKAN,GOH KHENG SNEAH,MALE,50,7160,,PKR,DR. T. JAYABALAN,MALE,68,17017,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,MOHD NOOR BIN MOHD ABDUL KADER,MALE,,186,LOST DEPOSIT,INDEPENDENT - KEY,BARATHARAJAN A/L NARAYANASAMY PILLAI,MALE,,40,LOST DEPOSIT,INDEPENDENT - HIBISCUS,RAJENDRA AMMASI,MALE,45,26,LOST DEPOSIT,,,,,,
P.052_N.36,PULAU PINANG,P.052,BAYAN BARU,N.36,PANTAI JEREJAK,PR - PKR,,21560,5354,85.64,18464,47,161,18256,GERAKAN,WONG MUN HOE,MALE,,6451,,PKR,HJ. RASHID HASNON,MALE,53,11805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.052_N.37,PULAU PINANG,P.052,BAYAN BARU,N.37,BATU MAUNG,PR - PKR,,28946,3390,88.55,25632,56,358,25218,UMNO,Ir. MANSOR BIN MUSA,MALE,50,10875,,PKR,ABDUL MALIK KASSIM,MALE,59,14265,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,RAHMAD ISAHAK,MALE,,78,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.053_N.38,PULAU PINANG,P.053,BALIK PULAU,N.38,BAYAN LEPAS,BN - UMNO,,21277,458,88.30,18788,23,281,18484,UMNO,HAJI NORDIN BIN AHMAD,MALE,55,9408,,,,,,,,PAS,CIKGU ASNAH HASHIM,FEMALE,,8950,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,DR. OOI,MALE,73,126,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.053_N.39,PULAU PINANG,P.053,BALIK PULAU,N.39,PULAU BETONG,BN - UMNO,,15316,395,88.35,13532,23,200,13309,UMNO,Sr. HJ. MUHAMAD FARID BIN SAAD,MALE,50,6852,,PKR,HAJI MOHD TUAH BIN ISMAIL,MALE,47,6457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.053_N.40,PULAU PINANG,P.053,BALIK PULAU,N.40,TELOK BAHANG,BN - UMNO,,13048,801,87.78,11453,19,167,11267,UMNO,DATUK HJ. SHAH HEADAN BIN AYOOB HUSSAIN SHAH,MALE,49,6034,,PKR,ABDUL HALIM BIN HUSSAIN,MALE,,5233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.054_N.01,PERAK,P.054,GERIK,N.01,PENGKALAN HULU,BN - UMNO,,13924,3361,83.39,11611,281,279,11051,UMNO,HJ AZNEL BIN HJ IBRAHIM,MALE,50,7206,,PKR,MEJ (B) ABDULLAH MASNAN,MALE,,3845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.054_N.02,PERAK,P.054,GERIK,N.02,TEMENGOR,BN - UMNO,,18801,3215,84.05,15803,32,324,15447,UMNO,SALBIAH BINTI MOHAMED,FEMALE,35,9331,,PKR,MHD SUPIAN BIN NORDIN,MALE,,6116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.055_N.03,PERAK,P.055,LENGGONG,N.03,KENERING,BN - UMNO,,15830,3335,85.89,13597,216,284,13097,UMNO,MOHD TARMIZI IDRIS,MALE,51,8216,,PKR,MOHAMD TARMIZI BIN ABDUL HAMID,MALE,,4881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.055_N.04,PERAK,P.055,LENGGONG,N.04,KOTA TAMPAN,BN - UMNO,,12120,1844,83.66,10139,38,159,9942,UMNO,SAARANI MOHAMAD,MALE,52,5893,,PKR,ZAHRUL NIZAM BIN ABDUL MAJID,MALE,,4049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.056_N.05,PERAK,P.056,LARUT,N.05,SELAMA,BN - UMNO,,15403,619,86.82,13373,101,183,13089,UMNO,DATO MOHAMAD DAUD BIN MOHD YUSOFF,MALE,53,6854,,,,,,,,PAS,USTAZ AKMAL BIN HJ. KAMARUDIN,MALE,35,6235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.056_N.06,PERAK,P.056,LARUT,N.06,KUBU GAJAH,BN - UMNO,,12611,1085,85.04,10724,25,170,10529,UMNO,AHMAD HASBULLAH BIN ALIAS,MALE,,5807,,,,,,,,PAS,UST MOHD NAZRI B. HJ DIN,MALE,,4722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.056_N.07,PERAK,P.056,LARUT,N.07,BATU KURAU,BN - UMNO,,18563,3834,86.21,16003,37,222,15744,UMNO,DR. HJ. MUHAMMAD AMIN BIN ZAKARIA,MALE,,9789,,PKR,MOHAMMAD FADZIL BIN ALIAS,MALE,,5955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.057_N.08,PERAK,P.057,PARIT BUNTAR,N.08,TITI SERONG,PR - PAS,,28107,1794,86.53,24321,96,341,23884,UMNO,ABU BAKAR BIN MAT ALI,MALE,54,11045,,,,,,,,PAS,USTAZ ABU BAKAR HUSSAIN,MALE,60,12839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.057_N.09,PERAK,P.057,PARIT BUNTAR,N.09,KUALA KURAU,PR - PKR,,23315,5014,85.72,19985,45,282,19658,UMNO,MOHD SALLEH BIN MAT DISA,MALE,56,7322,,PKR,YUNUS JAMHARI,MALE,42,12336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.058_N.10,PERAK,P.058,BAGAN SERAI,N.10,ALOR PONGSU,BN - UMNO,,17666,2196,84.01,14841,21,339,14481,UMNO,DATO' SHAM MAT SAHAT,MALE,52,8286,,PKR,ROSLI BIN IBRAHIM,MALE,,6090,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,SHAMSUL AMIR BIN RAMLY,MALE,,105,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.058_N.11,PERAK,P.058,BAGAN SERAI,N.11,GUNONG SEMANGGOL,PR - PAS,,18287,1405,85.44,15624,26,224,15374,UMNO,ZULKARNAIN BIN ISMAIL,MALE,,6949,,,,,,,,PAS,MOHD ZAWAWI B ABU HASSAN,MALE,35,8354,,,,,,,,,,,,,,,,,,,,INDEPENDENT - HIBISCUS,HALIDI BIN WAHAB,MALE,,71,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.058_N.12,PERAK,P.058,BAGAN SERAI,N.12,SELINSING,PR - PAS,,18839,809,84.50,15919,18,280,15621,UMNO,SHARUDIN BIN AHMAD,MALE,42,7406,,,,,,,,PAS,HJ. HUSIN BIN DIN,MALE,60,8215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.059_N.13,PERAK,P.059,BUKIT GANTANG,N.13,KUALA SAPETANG,PR - PKR,,25119,758,86.28,21673,31,420,21222,GERAKAN,LOH SWEE ENG,MALE,,10017,,PKR,CHUA YEE LING,FEMALE,28,10775,,,,,,,,BERJASA,ZAINAL ABIDIN HJ ABD. RAHMAN,MALE,,430,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.059_N.14,PERAK,P.059,BUKIT GANTANG,N.14,CHANGKAT JERING,PR - PAS,,33095,1170,85.40,28264,79,281,27904,UMNO,DATUK HJ ROSLI BIN HUSIN,MALE,57,13325,,,,,,,,PAS,DATO' SERI NIZAR,MALE,56,14495,,,,,,,,,,,,,,,,,,,,INDEPENDENT - CHAIR,ZULKEFLI BIN IBRAHIM,MALE,,84,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
