UNIQUE CODE (2018),STATE (2018),PARLIAMENT CONSTITUENCY CODE (2018),PARLIAMENT CONSTITUENCY NAME (2018),STATE CONSTITUENCY CODE (2018),STATE CONSTITUENCY NAME (2018),AREA (SQ KM),Notes
P. 072_N. 48,PERAK,P. 072,TAPAH,N. 48,AYER KUNING,322,AS per 2018 Gazetted Redelineation
P. 073_N. 49,PERAK,P. 073,PASIR SALAK,N. 49,SUNGAI MANIK,230,AS per 2018 Gazetted Redelineation
P. 073_N. 50,PERAK,P. 073,PASIR SALAK,N. 50,KAMPONG GAJAH,834,AS per 2018 Gazetted Redelineation
P. 074_N. 51,PERAK,P. 074,LUMUT,N. 51,PASIR PANJANG,221,AS per 2018 Gazetted Redelineation
P. 074_N. 52,PERAK,P. 074,LUMUT,N. 52,PANGKOR,122,AS per 2018 Gazetted Redelineation
P. 075_N. 53,PERAK,P. 075,BAGAN DATUK,N. 53,RUNGKUP,264,AS per 2018 Gazetted Redelineation
P. 075_N. 54,PERAK,P. 075,BAGAN DATUK,N. 54,HUTAN MELINTANG,371,AS per 2018 Gazetted Redelineation
P. 076_N. 55,PERAK,P. 076,TELUK INTAN,N. 55,PASIR BEDAMAR,39,AS per 2018 Gazetted Redelineation
P. 076_N. 56,PERAK,P. 076,TELUK INTAN,N. 56,CHANGKAT JONG,735,AS per 2018 Gazetted Redelineation
P. 077_N. 57,PERAK,P. 077,TANJONG MALIM,N. 57,SUNGKAI,215,AS per 2018 Gazetted Redelineation
P. 077_N. 58,PERAK,P. 077,TANJONG MALIM,N. 58,SLIM,520,AS per 2018 Gazetted Redelineation
P. 077_N. 59,PERAK,P. 077,TANJONG MALIM,N. 59,BEHRANG,1147,AS per 2018 Gazetted Redelineation
P. 078_N. 01,PAHANG,P. 078,CAMERON HIGHLANDS,N. 01,TANAH RATA,681,AS per 2018 Gazetted Redelineation
P. 078_N. 02,PAHANG,P. 078,CAMERON HIGHLANDS,N. 02,JELAI,2433,AS per 2018 Gazetted Redelineation
P. 079_N. 03,PAHANG,P. 079,LIPIS,N. 03,PADANG TENGKU,2184,AS per 2018 Gazetted Redelineation
P. 079_N. 04,PAHANG,P. 079,LIPIS,N. 04,CHEKA,481,AS per 2018 Gazetted Redelineation
P. 079_N. 05,PAHANG,P. 079,LIPIS,N. 05,BENTA,339,AS per 2018 Gazetted Redelineation
P. 080_N. 06,PAHANG,P. 080,RAUB,N. 06,BATU TALAM,1063,AS per 2018 Gazetted Redelineation
P. 080_N. 07,PAHANG,P. 080,RAUB,N. 07,TRAS,424,AS per 2018 Gazetted Redelineation
P. 080_N. 08,PAHANG,P. 080,RAUB,N. 08,DONG,809,AS per 2018 Gazetted Redelineation
P. 081_N. 09,PAHANG,P. 081,JERANTUT,N. 09,TAHAN,5813,AS per 2018 Gazetted Redelineation
P. 081_N. 10,PAHANG,P. 081,JERANTUT,N. 10,DAMAK,544,AS per 2018 Gazetted Redelineation
P. 081_N. 11,PAHANG,P. 081,JERANTUT,N. 11,PULAU TAWAR,916,AS per 2018 Gazetted Redelineation
P. 082_N. 12,PAHANG,P. 082,INDERA MAHKOTA,N. 12,BESERAH,307,AS per 2018 Gazetted Redelineation
P. 082_N. 13,PAHANG,P. 082,INDERA MAHKOTA,N. 13,SEMAMBU,85,AS per 2018 Gazetted Redelineation
P. 083_N. 14,PAHANG,P. 083,KUANTAN,N. 14,TERUNTUM,12,AS per 2018 Gazetted Redelineation
P. 083_N. 15,PAHANG,P. 083,KUANTAN,N. 15,TANJUNG LUMPUR,42,AS per 2018 Gazetted Redelineation
P. 083_N. 16,PAHANG,P. 083,KUANTAN,N. 16,INDERAPURA,111,AS per 2018 Gazetted Redelineation
P. 084_N. 17,PAHANG,P. 084,PAYA BESAR,N. 17,SUNGAI LEMBING,1039,AS per 2018 Gazetted Redelineation
P. 084_N. 18,PAHANG,P. 084,PAYA BESAR,N. 18,LEPAR,1008,AS per 2018 Gazetted Redelineation
P. 084_N. 19,PAHANG,P. 084,PAYA BESAR,N. 19,PANCHING,171,AS per 2018 Gazetted Redelineation
P. 085_N. 20,PAHANG,P. 085,PEKAN,N. 20,PULAU MANIS,934,AS per 2018 Gazetted Redelineation
P. 085_N. 21,PAHANG,P. 085,PEKAN,N. 21,PERAMU JAYA,227,AS per 2018 Gazetted Redelineation
P. 085_N. 22,PAHANG,P. 085,PEKAN,N. 22,BEBAR,2093,AS per 2018 Gazetted Redelineation
P. 085_N. 23,PAHANG,P. 085,PEKAN,N. 23,CHINI,592,AS per 2018 Gazetted Redelineation
P. 086_N. 24,PAHANG,P. 086,MARAN,N. 24,LUIT,641,AS per 2018 Gazetted Redelineation
P. 086_N. 25,PAHANG,P. 086,MARAN,N. 25,KUALA SENTUL,441,AS per 2018 Gazetted Redelineation
P. 086_N. 26,PAHANG,P. 086,MARAN,N. 26,CHENOR,527,AS per 2018 Gazetted Redelineation
P. 087_N. 27,PAHANG,P. 087,KUALA KRAU,N. 27,JENDERAK,828,AS per 2018 Gazetted Redelineation
P. 087_N. 28,PAHANG,P. 087,KUALA KRAU,N. 28,KERDAU,268,AS per 2018 Gazetted Redelineation
P. 087_N. 29,PAHANG,P. 087,KUALA KRAU,N. 29,JENGKA,295,AS per 2018 Gazetted Redelineation
P. 088_N. 30,PAHANG,P. 088,TEMERLOH,N. 30,MENTAKAB,43,AS per 2018 Gazetted Redelineation
P. 088_N. 31,PAHANG,P. 088,TEMERLOH,N. 31,LANCHANG,949,AS per 2018 Gazetted Redelineation
P. 088_N. 32,PAHANG,P. 088,TEMERLOH,N. 32,KUALA SEMANTAN,189,AS per 2018 Gazetted Redelineation
P. 089_N. 33,PAHANG,P. 089,BENTONG,N. 33,BILUT,269,AS per 2018 Gazetted Redelineation
P. 089_N. 34,PAHANG,P. 089,BENTONG,N. 34,KETARI,533,AS per 2018 Gazetted Redelineation
P. 089_N. 35,PAHANG,P. 089,BENTONG,N. 35,SABAI,415,AS per 2018 Gazetted Redelineation
P. 089_N. 36,PAHANG,P. 089,BENTONG,N. 36,PELANGAI,649,AS per 2018 Gazetted Redelineation
P. 090_N. 37,PAHANG,P. 090,BERA,N. 37,GUAI,427,AS per 2018 Gazetted Redelineation
P. 090_N. 38,PAHANG,P. 090,BERA,N. 38,TRIANG,286,AS per 2018 Gazetted Redelineation
P. 090_N. 39,PAHANG,P. 090,BERA,N. 39,KEMAYAN,1492,AS per 2018 Gazetted Redelineation
P. 091_N. 40,PAHANG,P. 091,ROMPIN,N. 40,BUKIT IBAM,2024,AS per 2018 Gazetted Redelineation
P. 091_N. 41,PAHANG,P. 091,ROMPIN,N. 41,MUADZAM SHAH,1799,AS per 2018 Gazetted Redelineation
P. 091_N. 42,PAHANG,P. 091,ROMPIN,N. 42,TIOMAN,1567,AS per 2018 Gazetted Redelineation
P. 092_N. 01,SELANGOR,P. 092,SABAK BERNAM,N. 01,SUNGAI AIR TAWAR,187,AS per 2018 Gazetted Redelineation
P. 092_N. 02,SELANGOR,P. 092,SABAK BERNAM,N. 02,SABAK,157,AS per 2018 Gazetted Redelineation
P. 093_N. 03,SELANGOR,P. 093,SUNGAI BESAR,N. 03,SUNGAI PANJANG,383,AS per 2018 Gazetted Redelineation
P. 093_N. 04,SELANGOR,P. 093,SUNGAI BESAR,N. 04,SEKINCHAN,256,AS per 2018 Gazetted Redelineation
P. 094_N. 05,SELANGOR,P. 094,HULU SELANGOR,N. 05,HULU BERNAM,580,AS per 2018 Gazetted Redelineation
P. 094_N. 06,SELANGOR,P. 094,HULU SELANGOR,N. 06,KUALA KUBU BAHARU,617,AS per 2018 Gazetted Redelineation
P. 094_N. 07,SELANGOR,P. 094,HULU SELANGOR,N. 07,BATANG KALI,515,AS per 2018 Gazetted Redelineation
P. 095_N. 08,SELANGOR,P. 095,TANJONG KARANG,N. 08,SUNGAI BURONG,180,AS per 2018 Gazetted Redelineation
P. 095_N. 09,SELANGOR,P. 095,TANJONG KARANG,N. 09,PERMATANG,599,AS per 2018 Gazetted Redelineation
P. 096_N. 10,SELANGOR,P. 096,KUALA SELANGOR,N. 10,BUKIT MELAWATI,155,AS per 2018 Gazetted Redelineation
P. 096_N. 11,SELANGOR,P. 096,KUALA SELANGOR,N. 11,IJOK,110,AS per 2018 Gazetted Redelineation
P. 096_N. 12,SELANGOR,P. 096,KUALA SELANGOR,N. 12,JERAM,169,AS per 2018 Gazetted Redelineation
P. 097_N. 13,SELANGOR,P. 097,SELAYANG,N. 13,KUANG,98,AS per 2018 Gazetted Redelineation
P. 097_N. 14,SELANGOR,P. 097,SELAYANG,N. 14,RAWANG,116,AS per 2018 Gazetted Redelineation
P. 097_N. 15,SELANGOR,P. 097,SELAYANG,N. 15,TAMAN TEMPLER,71,AS per 2018 Gazetted Redelineation
P. 098_N. 16,SELANGOR,P. 098,GOMBAK,N. 16,SUNGAI TUA,62,AS per 2018 Gazetted Redelineation
P. 098_N. 17,SELANGOR,P. 098,GOMBAK,N. 17,GOMBAK SETIA,132,AS per 2018 Gazetted Redelineation
P. 098_N. 18,SELANGOR,P. 098,GOMBAK,N. 18,HULU KELANG,71,AS per 2018 Gazetted Redelineation
P. 099_N. 19,SELANGOR,P. 099,AMPANG,N. 19,BUKIT ANTARABANGSA,14,AS per 2018 Gazetted Redelineation
P. 099_N. 20,SELANGOR,P. 099,AMPANG,N. 20,LEMBAH JAYA,37,AS per 2018 Gazetted Redelineation
P. 100_N. 21,SELANGOR,P. 100,PANDAN,N. 21,PANDAN INDAH,7,AS per 2018 Gazetted Redelineation
P. 100_N. 22,SELANGOR,P. 100,PANDAN,N. 22,TERATAI,13,AS per 2018 Gazetted Redelineation
P. 101_N. 23,SELANGOR,P. 101,HULU LANGAT,N. 23,DUSUN TUA,283,AS per 2018 Gazetted Redelineation
P. 101_N. 24,SELANGOR,P. 101,HULU LANGAT,N. 24,SEMENYIH,337,AS per 2018 Gazetted Redelineation
P. 102_N. 25,SELANGOR,P. 102,BANGI,N. 25,KAJANG,80,AS per 2018 Gazetted Redelineation
P. 102_N. 26,SELANGOR,P. 102,BANGI,N. 26,SUNGAI RAMAL,73,AS per 2018 Gazetted Redelineation
P. 102_N. 27,SELANGOR,P. 102,BANGI,N. 27,BALAKONG,31,AS per 2018 Gazetted Redelineation
P. 103_N. 28,SELANGOR,P. 103,PUCHONG,N. 28,SERI KEMBANGAN,21,AS per 2018 Gazetted Redelineation
P. 103_N. 29,SELANGOR,P. 103,PUCHONG,N. 29,SERI SERDANG,57,AS per 2018 Gazetted Redelineation
P. 104_N. 30,SELANGOR,P. 104,SUBANG,N. 30,KINRARA,44,AS per 2018 Gazetted Redelineation
P. 104_N. 31,SELANGOR,P. 104,SUBANG,N. 31,SUBANG JAYA,25,AS per 2018 Gazetted Redelineation
P. 105_N. 32,SELANGOR,P. 105,PETALING JAYA,N. 32,SERI SETIA,34,AS per 2018 Gazetted Redelineation
P. 105_N. 33,SELANGOR,P. 105,PETALING JAYA,N. 33,TAMAN MEDAN,8,AS per 2018 Gazetted Redelineation
P. 105_N. 34,SELANGOR,P. 105,PETALING JAYA,N. 34,BUKIT GASING,13,AS per 2018 Gazetted Redelineation
P. 106_N. 35,SELANGOR,P. 106,DAMANSARA,N. 35,KAMPUNG TUNKU,7,AS per 2018 Gazetted Redelineation
P. 106_N. 36,SELANGOR,P. 106,DAMANSARA,N. 36,BANDAR UTAMA,14,AS per 2018 Gazetted Redelineation
P. 106_N. 37,SELANGOR,P. 106,DAMANSARA,N. 37,BUKIT LANJAN,44,AS per 2018 Gazetted Redelineation
P. 107_N. 38,SELANGOR,P. 107,SUNGAI BULOH,N. 38,PAYA JARAS,73,AS per 2018 Gazetted Redelineation
P. 107_N. 39,SELANGOR,P. 107,SUNGAI BULOH,N. 39,KOTA DAMANSARA,60,AS per 2018 Gazetted Redelineation
P. 108_N. 40,SELANGOR,P. 108,SHAH ALAM,N. 40,KOTA ANGGERIK,114,AS per 2018 Gazetted Redelineation
P. 108_N. 41,SELANGOR,P. 108,SHAH ALAM,N. 41,BATU TIGA,26,AS per 2018 Gazetted Redelineation
P. 109_N. 42,SELANGOR,P. 109,KAPAR,N. 42,MERU,80,AS per 2018 Gazetted Redelineation
P. 109_N. 43,SELANGOR,P. 109,KAPAR,N. 43,SEMENTA,121,AS per 2018 Gazetted Redelineation
P. 109_N. 44,SELANGOR,P. 109,KAPAR,N. 44,SELAT KLANG,161,AS per 2018 Gazetted Redelineation
P. 110_N. 45,SELANGOR,P. 110,KLANG,N. 45,BANDAR BARU KLANG,25,AS per 2018 Gazetted Redelineation
P. 110_N. 46,SELANGOR,P. 110,KLANG,N. 46,PELABUHAN KLANG,122,AS per 2018 Gazetted Redelineation
P. 110_N. 47,SELANGOR,P. 110,KLANG,N. 47,PANDAMARAN,15,AS per 2018 Gazetted Redelineation
P. 111_N. 48,SELANGOR,P. 111,KOTA RAJA,N. 48,SENTOSA,22,AS per 2018 Gazetted Redelineation
P. 111_N. 49,SELANGOR,P. 111,KOTA RAJA,N. 49,SUNGAI KANDIS,70,AS per 2018 Gazetted Redelineation
P. 111_N. 50,SELANGOR,P. 111,KOTA RAJA,N. 50,KOTA KEMUNING,49,AS per 2018 Gazetted Redelineation
P. 112_N. 51,SELANGOR,P. 112,KUALA LANGAT,N. 51,SIJANGKANG,366,AS per 2018 Gazetted Redelineation
P. 112_N. 52,SELANGOR,P. 112,KUALA LANGAT,N. 52,BANTING,84,AS per 2018 Gazetted Redelineation
P. 112_N. 53,SELANGOR,P. 112,KUALA LANGAT,N. 53,MORIB,132,AS per 2018 Gazetted Redelineation
P. 113_N. 54,SELANGOR,P. 113,SEPANG,N. 54,TANJONG SEPAT,276,AS per 2018 Gazetted Redelineation
P. 113_N. 55,SELANGOR,P. 113,SEPANG,N. 55,DENGKIL,326,AS per 2018 Gazetted Redelineation
P. 113_N. 56,SELANGOR,P. 113,SEPANG,N. 56,SUNGAI PELEK,239,AS per 2018 Gazetted Redelineation
P. 126_N. 01,NEGERI SEMBILAN,P. 126,JELEBU,N. 01,CHENNAH,720,AS per 2018 Gazetted Redelineation
P. 126_N. 02,NEGERI SEMBILAN,P. 126,JELEBU,N. 02,PERTANG,400,AS per 2018 Gazetted Redelineation
P. 126_N. 03,NEGERI SEMBILAN,P. 126,JELEBU,N. 03,SUNGAI LUI,368,AS per 2018 Gazetted Redelineation
P. 126_N. 04,NEGERI SEMBILAN,P. 126,JELEBU,N. 04,KLAWANG,229,AS per 2018 Gazetted Redelineation
P. 127_N. 05,NEGERI SEMBILAN,P. 127,JEMPOL,N. 05,SERTING,348,AS per 2018 Gazetted Redelineation
P. 127_N. 06,NEGERI SEMBILAN,P. 127,JEMPOL,N. 06,PALONG,369,AS per 2018 Gazetted Redelineation
P. 127_N. 07,NEGERI SEMBILAN,P. 127,JEMPOL,N. 07,JERAM PADANG,360,AS per 2018 Gazetted Redelineation
P. 127_N. 08,NEGERI SEMBILAN,P. 127,JEMPOL,N. 08,BAHAU,48,AS per 2018 Gazetted Redelineation
P. 128_N. 09,NEGERI SEMBILAN,P. 128,SEREMBAN,N. 09,LENGGENG,271,AS per 2018 Gazetted Redelineation
P. 128_N. 10,NEGERI SEMBILAN,P. 128,SEREMBAN,N. 10,NILAI,170,AS per 2018 Gazetted Redelineation
P. 128_N. 11,NEGERI SEMBILAN,P. 128,SEREMBAN,N. 11,LOBAK,24,AS per 2018 Gazetted Redelineation
P. 128_N. 12,NEGERI SEMBILAN,P. 128,SEREMBAN,N. 12,TEMIANG,6,AS per 2018 Gazetted Redelineation
P. 128_N. 13,NEGERI SEMBILAN,P. 128,SEREMBAN,N. 13,SIKAMAT,14,AS per 2018 Gazetted Redelineation
P. 128_N. 14,NEGERI SEMBILAN,P. 128,SEREMBAN,N. 14,AMPANGAN,8,AS per 2018 Gazetted Redelineation
P. 129_N. 15,NEGERI SEMBILAN,P. 129,KUALA PILAH,N. 15,JUASSEH,206,AS per 2018 Gazetted Redelineation
P. 129_N. 16,NEGERI SEMBILAN,P. 129,KUALA PILAH,N. 16,SERI MENANTI,327,AS per 2018 Gazetted Redelineation
P. 129_N. 17,NEGERI SEMBILAN,P. 129,KUALA PILAH,N. 17,SENALING,109,AS per 2018 Gazetted Redelineation
P. 129_N. 18,NEGERI SEMBILAN,P. 129,KUALA PILAH,N. 18,PILAH,56,AS per 2018 Gazetted Redelineation
P. 129_N. 19,NEGERI SEMBILAN,P. 129,KUALA PILAH,N. 19,JOHOL,328,AS per 2018 Gazetted Redelineation
P. 130_N. 20,NEGERI SEMBILAN,P. 130,RASAH,N. 20,LABU,144,AS per 2018 Gazetted Redelineation
P. 130_N. 21,NEGERI SEMBILAN,P. 130,RASAH,N. 21,BUKIT KEPAYANG,49,AS per 2018 Gazetted Redelineation
P. 130_N. 22,NEGERI SEMBILAN,P. 130,RASAH,N. 22,RAHANG,7,AS per 2018 Gazetted Redelineation
P. 130_N. 23,NEGERI SEMBILAN,P. 130,RASAH,N. 23,MAMBAU,22,AS per 2018 Gazetted Redelineation
P. 130_N. 24,NEGERI SEMBILAN,P. 130,RASAH,N. 24,SEREMBAN JAYA,12,AS per 2018 Gazetted Redelineation
P. 131_N. 25,NEGERI SEMBILAN,P. 131,REMBAU,N. 25,PAROI,104,AS per 2018 Gazetted Redelineation
P. 131_N. 26,NEGERI SEMBILAN,P. 131,REMBAU,N. 26,CHEMBONG,193,AS per 2018 Gazetted Redelineation
P. 131_N. 27,NEGERI SEMBILAN,P. 131,REMBAU,N. 27,RANTAU,124,AS per 2018 Gazetted Redelineation
P. 131_N. 28,NEGERI SEMBILAN,P. 131,REMBAU,N. 28,KOTA,214,AS per 2018 Gazetted Redelineation
P. 132_N. 29,NEGERI SEMBILAN,P. 132,PORT DICKSON,N. 29,CHUAH,111,AS per 2018 Gazetted Redelineation
P. 132_N. 30,NEGERI SEMBILAN,P. 132,PORT DICKSON,N. 30,LUKUT,90,AS per 2018 Gazetted Redelineation
P. 132_N. 31,NEGERI SEMBILAN,P. 132,PORT DICKSON,N. 31,BAGAN PINANG,141,AS per 2018 Gazetted Redelineation
P. 132_N. 32,NEGERI SEMBILAN,P. 132,PORT DICKSON,N. 32,LINGGI,197,AS per 2018 Gazetted Redelineation
P. 132_N. 33,NEGERI SEMBILAN,P. 132,PORT DICKSON,N. 33,SRI TANJUNG,32,AS per 2018 Gazetted Redelineation
P. 133_N. 34,NEGERI SEMBILAN,P. 133,TAMPIN,N. 34,GEMAS,303,AS per 2018 Gazetted Redelineation
P. 133_N. 35,NEGERI SEMBILAN,P. 133,TAMPIN,N. 35,GEMENCHEH,409,AS per 2018 Gazetted Redelineation
P. 133_N. 36,NEGERI SEMBILAN,P. 133,TAMPIN,N. 36,REPAH,149,AS per 2018 Gazetted Redelineation
P. 134_N. 01,MELAKA,P. 134,MASJID TANAH,N. 01,KUALA LINGGI,59,AS per 2018 Gazetted Redelineation
P. 134_N. 02,MELAKA,P. 134,MASJID TANAH,N. 02,TANJUNG BIDARA,36,AS per 2018 Gazetted Redelineation
P. 134_N. 03,MELAKA,P. 134,MASJID TANAH,N. 03,AYER LIMAU,64,AS per 2018 Gazetted Redelineation
P. 134_N. 04,MELAKA,P. 134,MASJID TANAH,N. 04,LENDU,71,AS per 2018 Gazetted Redelineation
P. 134_N. 05,MELAKA,P. 134,MASJID TANAH,N. 05,TABOH NANING,95,AS per 2018 Gazetted Redelineation
P. 135_N. 06,MELAKA,P. 135,ALOR GAJAH,N. 06,REMBIA,54,AS per 2018 Gazetted Redelineation
P. 135_N. 07,MELAKA,P. 135,ALOR GAJAH,N. 07,GADEK,67,AS per 2018 Gazetted Redelineation
P. 135_N. 08,MELAKA,P. 135,ALOR GAJAH,N. 08,MACHAP JAYA,161,AS per 2018 Gazetted Redelineation
P. 135_N. 09,MELAKA,P. 135,ALOR GAJAH,N. 09,DURIAN TUNGGAL,64,AS per 2018 Gazetted Redelineation
P. 135_N. 10,MELAKA,P. 135,ALOR GAJAH,N. 10,ASAHAN,214,AS per 2018 Gazetted Redelineation
P. 136_N. 11,MELAKA,P. 136,TANGGA BATU,N. 11,SUNGAI UDANG,35,AS per 2018 Gazetted Redelineation
P. 136_N. 12,MELAKA,P. 136,TANGGA BATU,N. 12,PANTAI KUNDOR,17,AS per 2018 Gazetted Redelineation
P. 136_N. 13,MELAKA,P. 136,TANGGA BATU,N. 13,PAYA RUMPUT,47,AS per 2018 Gazetted Redelineation
P. 136_N. 14,MELAKA,P. 136,TANGGA BATU,N. 14,KELEBANG,22,AS per 2018 Gazetted Redelineation
P. 137_N. 15,MELAKA,P. 137,HANG TUAH JAYA,N. 15,PENGKALAN BATU,11,AS per 2018 Gazetted Redelineation
P. 137_N. 16,MELAKA,P. 137,HANG TUAH JAYA,N. 16,AYER KEROH,35,AS per 2018 Gazetted Redelineation
P. 137_N. 17,MELAKA,P. 137,HANG TUAH JAYA,N. 17,BUKIT KATIL,17,AS per 2018 Gazetted Redelineation
P. 137_N. 18,MELAKA,P. 137,HANG TUAH JAYA,N. 18,AYER MOLEK,53,AS per 2018 Gazetted Redelineation
P. 138_N. 19,MELAKA,P. 138,KOTA MELAKA,N. 19,KESIDANG,22,AS per 2018 Gazetted Redelineation
P. 138_N. 20,MELAKA,P. 138,KOTA MELAKA,N. 20,KOTA LAKSAMANA,7,AS per 2018 Gazetted Redelineation
P. 138_N. 21,MELAKA,P. 138,KOTA MELAKA,N. 21,DUYONG,11,AS per 2018 Gazetted Redelineation
P. 138_N. 22,MELAKA,P. 138,KOTA MELAKA,N. 22,BANDAR HILIR,5,AS per 2018 Gazetted Redelineation
P. 138_N. 23,MELAKA,P. 138,KOTA MELAKA,N. 23,TELOK MAS,21,AS per 2018 Gazetted Redelineation
P. 139_N. 24,MELAKA,P. 139,JASIN,N. 24,BEMBAN,119,AS per 2018 Gazetted Redelineation
P. 139_N. 25,MELAKA,P. 139,JASIN,N. 25,RIM,137,AS per 2018 Gazetted Redelineation
P. 139_N. 26,MELAKA,P. 139,JASIN,N. 26,SERKAM,42,AS per 2018 Gazetted Redelineation
P. 139_N. 27,MELAKA,P. 139,JASIN,N. 27,MERLIMAU,88,AS per 2018 Gazetted Redelineation
P. 139_N. 28,MELAKA,P. 139,JASIN,N. 28,SUNGAI RAMBAI,93,AS per 2018 Gazetted Redelineation
P. 140_N. 01,JOHOR,P. 140,SEGAMAT,N. 01,BULOH KASAP,594,AS per 2018 Gazetted Redelineation
P. 140_N. 02,JOHOR,P. 140,SEGAMAT,N. 02,JEMENTAH,347,AS per 2018 Gazetted Redelineation
P. 141_N. 03,JOHOR,P. 141,SEKIJANG,N. 03,PEMANIS,230,AS per 2018 Gazetted Redelineation
P. 141_N. 04,JOHOR,P. 141,SEKIJANG,N. 04,KEMELAH,320,AS per 2018 Gazetted Redelineation
P. 142_N. 05,JOHOR,P. 142,LABIS,N. 05,TENANG,306,AS per 2018 Gazetted Redelineation
P. 142_N. 06,JOHOR,P. 142,LABIS,N. 06,BEKOK,1068,AS per 2018 Gazetted Redelineation
P. 143_N. 07,JOHOR,P. 143,PAGOH,N. 07,BUKIT KEPONG,1023,AS per 2018 Gazetted Redelineation
P. 143_N. 08,JOHOR,P. 143,PAGOH,N. 08,BUKIT PASIR,235,AS per 2018 Gazetted Redelineation
P. 144_N. 09,JOHOR,P. 144,LEDANG,N. 09,GAMBIR,219,AS per 2018 Gazetted Redelineation
P. 144_N. 10,JOHOR,P. 144,LEDANG,N. 10,TANGKAK,238,AS per 2018 Gazetted Redelineation
P. 144_N. 11,JOHOR,P. 144,LEDANG,N. 11,SEROM,196,AS per 2018 Gazetted Redelineation
P. 145_N. 12,JOHOR,P. 145,BAKRI,N. 12,BENTAYAN,11,AS per 2018 Gazetted Redelineation
P. 145_N. 13,JOHOR,P. 145,BAKRI,N. 13,SIMPANG JERAM,36,AS per 2018 Gazetted Redelineation
P. 145_N. 14,JOHOR,P. 145,BAKRI,N. 14,BUKIT NANING,144,AS per 2018 Gazetted Redelineation
P. 146_N. 15,JOHOR,P. 146,MUAR,N. 15,MAHARANI,65,AS per 2018 Gazetted Redelineation
P. 146_N. 16,JOHOR,P. 146,MUAR,N. 16,SUNGAI BALANG,203,AS per 2018 Gazetted Redelineation
P. 147_N. 17,JOHOR,P. 147,PARIT SULONG,N. 17,SEMERAH,165,AS per 2018 Gazetted Redelineation
P. 147_N. 18,JOHOR,P. 147,PARIT SULONG,N. 18,SRI MEDAN,303,AS per 2018 Gazetted Redelineation
P. 148_N. 19,JOHOR,P. 148,AYER HITAM,N. 19,YONG PENG,555,AS per 2018 Gazetted Redelineation
P. 148_N. 20,JOHOR,P. 148,AYER HITAM,N. 20,SEMARANG,192,AS per 2018 Gazetted Redelineation
P. 149_N. 21,JOHOR,P. 149,SRI GADING,N. 21,PARIT YAANI,147,AS per 2018 Gazetted Redelineation
P. 149_N. 22,JOHOR,P. 149,SRI GADING,N. 22,PARIT RAJA,153,AS per 2018 Gazetted Redelineation
P. 150_N. 23,JOHOR,P. 150,BATU PAHAT,N. 23,PENGGARAM,30,AS per 2018 Gazetted Redelineation
P. 150_N. 24,JOHOR,P. 150,BATU PAHAT,N. 24,SENGGARANG,217,AS per 2018 Gazetted Redelineation
P. 150_N. 25,JOHOR,P. 150,BATU PAHAT,N. 25,RENGIT,199,AS per 2018 Gazetted Redelineation
P. 151_N. 26,JOHOR,P. 151,SIMPANG RENGGAM,N. 26,MACHAP,376,AS per 2018 Gazetted Redelineation
P. 151_N. 27,JOHOR,P. 151,SIMPANG RENGGAM,N. 27,LAYANG-LAYANG,375,AS per 2018 Gazetted Redelineation
P. 152_N. 28,JOHOR,P. 152,KLUANG,N. 28,MENGKIBOL,196,AS per 2018 Gazetted Redelineation
P. 152_N. 29,JOHOR,P. 152,KLUANG,N. 29,MAHKOTA,60,AS per 2018 Gazetted Redelineation
P. 153_N. 30,JOHOR,P. 153,SEMBRONG,N. 30,PALOH,928,AS per 2018 Gazetted Redelineation
P. 153_N. 31,JOHOR,P. 153,SEMBRONG,N. 31,KAHANG,937,AS per 2018 Gazetted Redelineation
P. 154_N. 32,JOHOR,P. 154,MERSING,N. 32,ENDAU,1104,AS per 2018 Gazetted Redelineation
P. 154_N. 33,JOHOR,P. 154,MERSING,N. 33,TENGGAROH,1745,AS per 2018 Gazetted Redelineation
P. 155_N. 34,JOHOR,P. 155,TENGGARA,N. 34,PANTI,802,AS per 2018 Gazetted Redelineation
P. 155_N. 35,JOHOR,P. 155,TENGGARA,N. 35,PASIR RAJA,350,AS per 2018 Gazetted Redelineation
P. 156_N. 36,JOHOR,P. 156,KOTA TINGGI,N. 36,SEDILI,1115,AS per 2018 Gazetted Redelineation
P. 156_N. 37,JOHOR,P. 156,KOTA TINGGI,N. 37,JOHOR LAMA,331,AS per 2018 Gazetted Redelineation
P. 157_N. 38,JOHOR,P. 157,PENGERANG,N. 38,PENAWAR,468,AS per 2018 Gazetted Redelineation
P. 157_N. 39,JOHOR,P. 157,PENGERANG,N. 39,TANJUNG SURAT,417,AS per 2018 Gazetted Redelineation
P. 158_N. 40,JOHOR,P. 158,TEBRAU,N. 40,TIRAM,343,AS per 2018 Gazetted Redelineation
P. 158_N. 41,JOHOR,P. 158,TEBRAU,N. 41,PUTERI WANGSA,159,AS per 2018 Gazetted Redelineation
P. 159_N. 42,JOHOR,P. 159,PASIR GUDANG,N. 42,JOHOR JAYA,76,AS per 2018 Gazetted Redelineation
P. 159_N. 43,JOHOR,P. 159,PASIR GUDANG,N. 43,PERMAS,72,AS per 2018 Gazetted Redelineation
P. 160_N. 44,JOHOR,P. 160,JOHOR BAHRU,N. 44,LARKIN,20,AS per 2018 Gazetted Redelineation
